valor,timeStamp
0,2025-06-23 22:36:43.289123
1,2025-06-23 22:36:43.790542
4,2025-06-23 22:36:44.291127
9,2025-06-23 22:36:44.791636
16,2025-06-23 22:36:45.292148
25,2025-06-23 22:36:45.792424
36,2025-06-23 22:36:46.292734
49,2025-06-23 22:36:46.793141
64,2025-06-23 22:36:47.293907
81,2025-06-23 22:36:47.794397
100,2025-06-23 22:36:48.295010
121,2025-06-23 22:36:48.795595
144,2025-06-23 22:36:49.296557
169,2025-06-23 22:36:49.797283
196,2025-06-23 22:36:50.297645
225,2025-06-23 22:36:50.798470
256,2025-06-23 22:36:51.299158
289,2025-06-23 22:36:51.799952
324,2025-06-23 22:36:52.300546
361,2025-06-23 22:36:52.801136
400,2025-06-23 22:36:53.302038
441,2025-06-23 22:36:53.802451
484,2025-06-23 22:36:54.303218
529,2025-06-23 22:36:54.804230
576,2025-06-23 22:36:55.304504
625,2025-06-23 22:36:55.804770
676,2025-06-23 22:36:56.305484
729,2025-06-23 22:36:56.806195
784,2025-06-23 22:36:57.306597
841,2025-06-23 22:36:57.807072
900,2025-06-23 22:36:58.307808
961,2025-06-23 22:36:58.808545
1024,2025-06-23 22:36:59.309430
1089,2025-06-23 22:36:59.810204
1156,2025-06-23 22:37:00.311092
1225,2025-06-23 22:37:00.811905
1296,2025-06-23 22:37:01.312510
1369,2025-06-23 22:37:01.812997
1444,2025-06-23 22:37:02.313753
1521,2025-06-23 22:37:02.814037
1600,2025-06-23 22:37:03.314709
1681,2025-06-23 22:37:03.815194
1764,2025-06-23 22:37:04.315346
1849,2025-06-23 22:37:04.815870
1936,2025-06-23 22:37:05.316951
2025,2025-06-23 22:37:05.817238
