valor,timeStamp
0,2025-06-23 11:28:49.855995
1,2025-06-23 11:28:50.356937
4,2025-06-23 11:28:50.857614
9,2025-06-23 11:28:51.358488
16,2025-06-23 11:28:51.859078
25,2025-06-23 11:28:52.359494
36,2025-06-23 11:28:52.859886
49,2025-06-23 11:28:53.360282
64,2025-06-23 11:28:53.860520
81,2025-06-23 11:28:54.360817
100,2025-06-23 11:28:54.861239
121,2025-06-23 11:28:55.361917
144,2025-06-23 11:28:55.862128
169,2025-06-23 11:28:56.362494
196,2025-06-23 11:28:56.863097
225,2025-06-23 11:28:57.363405
256,2025-06-23 11:28:57.863761
289,2025-06-23 11:28:58.364384
324,2025-06-23 11:28:58.864880
361,2025-06-23 11:28:59.365396
400,2025-06-23 11:28:59.865943
441,2025-06-23 11:29:00.366413
484,2025-06-23 11:29:00.866992
529,2025-06-23 11:29:01.367539
576,2025-06-23 11:29:01.868089
625,2025-06-23 11:29:02.368357
676,2025-06-23 11:29:02.869005
729,2025-06-23 11:29:03.369592
784,2025-06-23 11:29:03.870194
841,2025-06-23 11:29:04.370911
900,2025-06-23 11:29:04.871567
961,2025-06-23 11:29:05.372089
1024,2025-06-23 11:29:05.872463
1089,2025-06-23 11:29:06.373122
1156,2025-06-23 11:29:06.873765
1225,2025-06-23 11:29:07.374449
1296,2025-06-23 11:29:07.875204
1369,2025-06-23 11:29:08.375532
1444,2025-06-23 11:29:08.875973
1521,2025-06-23 11:29:09.376673
1600,2025-06-23 11:29:09.877384
1681,2025-06-23 11:29:10.377791
1764,2025-06-23 11:29:10.878124
1849,2025-06-23 11:29:11.378554
1936,2025-06-23 11:29:11.879150
2025,2025-06-23 11:29:12.379477
2116,2025-06-23 11:29:12.880067
2209,2025-06-23 11:29:13.380327
2304,2025-06-23 11:29:13.880609
2401,2025-06-23 11:29:14.381059
2500,2025-06-23 11:29:14.881552
2601,2025-06-23 11:29:15.382272
2704,2025-06-23 11:29:15.882681
2809,2025-06-23 11:29:16.383203
2916,2025-06-23 11:29:16.883618
3025,2025-06-23 11:29:17.383875
3136,2025-06-23 11:29:17.884305
3249,2025-06-23 11:29:18.384858
3364,2025-06-23 11:29:18.885415
3481,2025-06-23 11:29:19.385704
3600,2025-06-23 11:29:19.885911
3721,2025-06-23 11:29:20.386408
3844,2025-06-23 11:29:20.886725
3969,2025-06-23 11:29:21.387152
4096,2025-06-23 11:29:21.887744
4225,2025-06-23 11:29:22.388200
4356,2025-06-23 11:29:22.888964
4489,2025-06-23 11:29:23.389552
4624,2025-06-23 11:29:23.890146
4761,2025-06-23 11:29:24.390418
4900,2025-06-23 11:29:24.890650
5041,2025-06-23 11:29:25.391186
5184,2025-06-23 11:29:25.891730
5329,2025-06-23 11:29:26.392123
5476,2025-06-23 11:29:26.892524
